data_point_id,source_paper,source_doi,feedstock_type,feedstock_category,feedstock_cellulose_pct,feedstock_hemicellulose_pct,feedstock_lignin_pct,feedstock_moisture_pct,feedstock_ash_pct,pyrolysis_temp_C,heating_rate_C_min,residence_time_h,pyrolysis_atmosphere,BET_surface_area_m2g,total_pore_volume_cm3g,micropore_volume_cm3g,mesopore_volume_cm3g,avg_pore_diameter_nm,C_pct,H_pct,N_pct,O_pct,H_C_molar_ratio,O_C_molar_ratio,pH,modification_type,Fe_loading_pct,modification_concentration_M,Qmax_Pb2_mg_g,Qmax_Cd2_mg_g,Qmax_Cr6_mg_g,Qmax_As3_mg_g,CO2_capacity_mmol_g,solution_pH,adsorbent_dosage_g_L,initial_metal_conc_mg_L,contact_time_h,temperature_C
DP-0001,Ma_2023,10.1016/j.seppur.2022.122521,Oak wood,Woody,43.4,19.7,11.2,14.4,7.5,450,3,2.0,N2,230.0,0.172,0.0258,0.1462,3.0,56.0,4.4,1.0,31.1,0.943,0.417,7.8,None,0.0,0.0,116.1,95.3,32.8,49.5,2.33,9.0,2.0,200,12,25
DP-0002,Palansooriya_2022,10.1021/acs.est.1c08302,Olive pomace,Woody,32.0,22.0,16.6,13.6,7.9,300,20,1.0,N2,132.9,0.1227,0.0385,0.0842,3.7,36.7,5.6,2.5,45.0,1.831,0.92,6.5,MnO2,0.0,0.78,118.7,129.5,31.1,88.7,1.32,4.0,10.0,100,4,20
DP-0003,Yuan_2021,10.1021/acs.est.1c01849,Palm kernel shell,Woody,46.9,29.3,20.1,6.1,0.5,350,5,1.0,N2,352.3,0.2512,0.0733,0.1779,2.9,52.5,5.3,0.86,40.8,1.211,0.583,7.9,None,0.0,0.0,177.1,176.5,39.9,80.7,1.83,4.0,0.5,100,4,30
DP-0004,Long_2024,10.1016/j.chemosphere.2024.141584,Corn stover,Agricultural,52.8,20.4,14.7,6.5,12.6,650,5,3.0,N2,413.7,0.2358,0.0858,0.15,2.3,62.3,4.0,1.1,20.0,0.77,0.241,7.3,Fe-loading,5.4,0.0,131.8,100.4,41.0,93.1,2.55,5.5,10.0,500,4,25
DP-0005,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Wheat straw,Agricultural,37.4,26.4,21.3,7.3,15.2,500,10,2.0,N2,359.9,0.2235,0.0498,0.1737,2.5,53.4,3.9,3.6,23.9,0.876,0.336,8.5,None,0.0,0.0,112.4,83.3,33.4,83.9,2.82,7.0,2.0,20,12,35
DP-0006,Shen_2024,10.1016/j.jhazmat.2024.133442,Sawdust,Woody,43.4,17.6,27.6,7.5,6.1,350,20,3.0,N2,171.7,0.1672,0.0529,0.1143,3.9,53.9,3.8,1.54,34.7,0.846,0.483,7.8,Acid-treatment,0.0,1.48,138.3,113.8,50.8,73.8,2.02,3.0,1.0,100,1,25
DP-0007,Palansooriya_2022,10.1021/acs.est.1c08302,Pine wood,Woody,39.5,23.9,10.0,7.9,14.7,600,5,2.0,N2,330.3,0.1756,0.0957,0.0799,2.1,66.3,3.3,1.8,13.9,0.597,0.157,9.0,Base-treatment,0.0,1.37,100.7,63.8,27.2,80.3,2.76,7.0,0.5,500,6,25
DP-0008,Jaffari_2023,10.1016/j.jhazmat.2023.132773,Sugarcane bagasse,Agricultural,42.7,23.5,14.4,3.5,5.8,400,10,4.0,N2,289.0,0.168,0.0562,0.1118,2.3,53.9,5.5,1.4,33.4,1.224,0.465,8.6,None,0.0,0.0,148.8,88.0,30.0,80.1,2.15,7.0,5.0,50,6,35
DP-0009,Zhu_2019,10.1016/j.jhazmat.2019.06.004,Rice husk,Agricultural,32.4,23.1,8.0,14.0,2.0,400,30,3.0,CO2,306.3,0.2138,0.053,0.1608,2.8,41.7,4.3,2.33,45.0,1.237,0.809,7.9,None,0.0,0.0,168.9,129.0,39.4,82.6,2.26,5.0,10.0,100,1,25
DP-0010,Yuan_2021,10.1021/acs.est.1c01849,Bamboo,Woody,30.3,35.6,19.0,7.0,9.6,600,10,1.0,Ar,286.4,0.2045,0.1137,0.0908,2.9,71.9,2.1,0.96,15.4,0.35,0.161,10.1,Fe-loading,1.2,0.0,84.0,75.7,45.2,54.2,2.05,6.0,1.0,50,6,30
DP-0011,Long_2024,10.1016/j.chemosphere.2024.141584,Coffee grounds,Agricultural,38.0,29.3,39.4,9.2,10.8,750,20,2.0,CO2,465.1,0.305,0.0958,0.2092,2.6,79.6,2.6,1.87,5.1,0.392,0.048,10.9,None,0.0,0.0,86.9,53.0,8.4,36.4,2.72,3.0,4.0,50,12,25
DP-0012,Sun_2022,10.1016/j.scitotenv.2022.154668,Rice husk,Agricultural,32.1,29.9,25.2,5.9,12.5,600,15,1.0,N2,382.4,0.2636,0.1964,0.0672,2.8,65.7,1.9,0.57,19.3,0.347,0.22,8.6,None,0.0,0.0,120.1,78.4,44.2,65.0,3.54,4.0,5.0,50,24,25
DP-0013,Yuan_2021,10.1021/acs.est.1c01849,Sugarcane bagasse,Agricultural,35.3,19.7,39.2,11.2,0.5,450,10,2.0,N2,254.1,0.1561,0.0491,0.107,2.5,55.2,5.1,1.22,38.0,1.109,0.516,7.5,N-doping,0.0,1.27,130.6,108.4,45.7,84.8,2.22,4.0,0.5,500,6,25
